Timestamp,PixelX,PixelY,IsValid,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ
738.6954,408,633,1,-0.1384925,0.09044041,-0.2144281,0.0457295,0.06278897,0.9969786
738.7052,408,633,1,-0.1385432,0.09044641,-0.2144262,0.04581018,0.0628727,0.9969696
738.7136,408,633,1,-0.1385903,0.09045052,-0.2144276,0.04587615,0.06295867,0.9969612
738.7215,408,633,1,-0.1386328,0.0904566,-0.2144306,0.04593003,0.06303766,0.9969537
738.7338,409,634,1,-0.138672,0.09046372,-0.2144383,0.0459724,0.06312247,0.9969463
738.7496,409,634,1,-0.1386937,0.09046412,-0.2144467,0.04603547,0.06322669,0.9969369
738.7653,409,634,1,-0.1387108,0.09046449,-0.2144616,0.04608526,0.06333182,0.9969279
738.7838,409,635,1,-0.1387048,0.09045994,-0.2144819,0.04614466,0.06345911,0.9969171
738.7992,409,635,1,-0.1386932,0.09045877,-0.2145034,0.0462115,0.06358449,0.996906
738.8156,410,635,1,-0.1386613,0.09045935,-0.2145295,0.04630465,0.06370633,0.9968939
738.8326,410,636,1,-0.13863,0.0904569,-0.2145593,0.04639805,0.0638346,0.9968813
738.851,410,636,1,-0.1385541,0.09044679,-0.2145948,0.04650268,0.0639328,0.9968702
738.865,411,636,1,-0.1384787,0.0904371,-0.2146315,0.04661234,0.06402193,0.9968594
738.8834,405,632,1,-0.1381149,0.09038353,-0.2147062,0.04463196,0.06269249,0.9970344
738.9017,400,629,1,-0.1377645,0.09032952,-0.2147804,0.0427239,0.06141688,0.9971973
738.9158,395,625,1,-0.1373326,0.09026565,-0.2148663,0.04079681,0.06019908,0.9973523
738.9325,390,622,1,-0.1369144,0.09020445,-0.2149523,0.03894189,0.05903511,0.997496
738.95,385,618,1,-0.1365222,0.09014712,-0.2150379,0.03712653,0.05788184,0.9976329
738.9666,380,615,1,-0.1361452,0.09008755,-0.2151244,0.03537888,0.05677747,0.9977598
738.9852,267,535,1,-0.1266829,0.08861159,-0.2173322,-0.006808746,0.02921172,0.99955
739.0001,267,535,1,-0.1266804,0.08860825,-0.2173367,-0.006808393,0.02920915,0.9995502
739.0155,267,535,1,-0.1266338,0.08860263,-0.2173466,-0.006845434,0.02916509,0.9995512
739.0327,267,535,1,-0.1265894,0.08860126,-0.2173635,-0.00687512,0.02915035,0.9995514
739.0488,267,535,1,-0.1265474,0.0886004,-0.2173814,-0.006890655,0.02911636,0.9995522
739.0667,267,535,1,-0.1264865,0.08859664,-0.2174032,-0.006903583,0.02907829,0.9995533
739.0834,267,535,1,-0.1264291,0.08859015,-0.217427,-0.006920206,0.02904844,0.999554
739.0998,267,534,1,-0.1263729,0.08858359,-0.2174543,-0.006946016,0.02902111,0.9995546
